"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.554162000E-2,6.502983880E1,2.547266420E1,NaN,NaN,NaN,NaN,1.615177092E-1,1.100000000E3,0.000000000E0,-1.000000000E0
2.998125043E0,6.503070122E1,2.546989541E1,3.790118372E0,2.126358034E1,0.000000000E0,NaN,1.909129700E-1,3.368684387E1,3.709285355E1,9.000000000E0
5.026893069E0,6.503076134E1,2.547050524E1,1.139206764E1,2.886549985E1,0.000000000E0,NaN,1.946558669E-1,1.564605141E1,3.927542877E1,1.100000000E1
6.054275597E0,6.503078432E1,2.547044697E1,9.361536760E0,2.683498271E1,0.000000000E0,NaN,1.968133181E-1,1.927866554E1,4.393608093E1,1.400000000E1
7.079059167E0,6.503076762E1,2.547042355E1,8.545005750E0,2.601844739E1,0.000000000E0,NaN,2.034670206E-1,3.157625389E1,1.052236023E2,1.000000000E1
8.085650761E0,6.503073033E1,2.547031269E1,1.697288164E1,3.444631870E1,1.555423737E0,3.443018494E2,2.129578035E-1,2.518538666E1,6.215599823E1,1.700000000E1
9.088982793E0,6.503080391E1,2.547021020E1,2.284681530E1,4.032028911E1,2.285825253E0,3.396645203E2,2.215102858E-1,7.581930161E0,1.445336151E1,2.500000000E1
1.059229379E1,6.503085524E1,2.547007453E1,2.281868857E1,4.029219355E1,2.024400473E0,6.813809741E-3,2.246157896E-1,4.774168015E0,8.133022308E0,2.300000000E1
1.160031633E1,6.503087760E1,2.547003487E1,2.283251995E1,4.030603684E1,2.124428272E0,5.427272797E0,2.263228389E-1,4.095938683E0,6.937774658E0,2.600000000E1
1.251549462E1,6.503088313E1,2.547000094E1,2.233007367E1,3.980359559E1,2.183507681E0,1.453865147E1,2.269427037E-1,3.494630098E0,5.909159184E0,2.500000000E1
1.351552662E1,6.503088753E1,2.546999283E1,2.243561750E1,3.990914178E1,3.141753197E0,2.256557846E1,2.286620553E-1,3.227293968E0,5.200387478E0,2.400000000E1
1.451580162E1,6.503090203E1,2.547000556E1,2.111913271E1,3.859266140E1,2.899036169E0,3.405264664E1,2.298967419E-1,2.794234276E0,4.475450993E0,2.500000000E1
1.551543162E1,6.503090800E1,2.547002773E1,1.994308357E1,3.741661262E1,3.232931376E0,4.350872421E1,2.315699848E-1,2.545525074E0,3.966316223E0,2.600000000E1
1.651543762E1,6.503091549E1,2.547005865E1,1.837127949E1,3.584480871E1,3.355518103E0,5.012054443E1,2.339977037E-1,2.391730547E0,3.590398073E0,2.600000000E1
1.751555662E1,6.503092086E1,2.547010878E1,1.765880351E1,3.513233044E1,3.198038816E0,4.841696167E1,2.369262350E-1,2.198995113E0,3.352752686E0,2.500000000E1
1.851555662E1,6.503093281E1,2.547016438E1,1.648731936E1,3.396084603E1,3.578988791E0,4.935552979E1,2.405390291E-1,2.061633825E0,3.101389647E0,2.700000000E1
1.951579862E1,6.503095046E1,2.547022900E1,1.594901812E1,3.342254590E1,3.925083160E0,4.590876389E1,2.440584438E-1,2.024761200E0,3.000000000E0,2.600000000E1
2.051548462E1,6.503096802E1,2.547029139E1,1.559248015E1,3.306600920E1,3.621652842E0,6.141384506E1,2.473485115E-1,1.981964588E0,3.000000000E0,2.500000000E1
2.151550662E1,6.503097727E1,2.547035796E1,1.534016646E1,3.281369327E1,3.501099348E0,6.708205414E1,2.510719725E-1,1.969025731E0,3.000000000E0,2.500000000E1
2.251555062E1,6.503098562E1,2.547043479E1,1.508019021E1,3.255371355E1,3.524595499E0,7.131112671E1,2.548120830E-1,1.687425256E0,3.000000000E0,2.500000000E1
2.351555162E1,6.503099181E1,2.547051311E1,1.471629553E1,3.218981445E1,3.424407959E0,7.515500641E1,2.581481972E-1,1.492867351E0,3.000000000E0,2.200000000E1
2.451554562E1,6.503099742E1,2.547058293E1,1.459172263E1,3.206523763E1,3.128345728E0,7.543695831E1,2.608210104E-1,1.349848866E0,3.000000000E0,2.100000000E1
2.551552862E1,6.503100218E1,2.547063874E1,1.437086232E1,3.184437431E1,2.573773384E0,7.657139587E1,2.628714445E-1,1.245457888E0,3.000000000E0,2.200000000E1
2.651554062E1,6.503100162E1,2.547068240E1,1.427968511E1,3.175319312E1,1.943125129E0,8.893712616E1,2.641734656E-1,1.162979364E0,3.000000000E0,2.100000000E1
2.751564962E1,6.503100176E1,2.547071014E1,1.410264803E1,3.157615370E1,1.231438756E0,8.543653107E1,2.649913234E-1,1.093335986E0,3.000000000E0,2.100000000E1
2.851556462E1,6.503100372E1,2.547072693E1,1.402941548E1,3.150292043E1,7.681179047E-1,7.001629639E1,2.653832743E-1,1.033888817E0,3.000000000E0,2.200000000E1
2.951557462E1,6.503100327E1,2.547073521E1,1.382595459E1,3.129945866E1,3.126209974E-1,8.181958771E1,2.655048396E-1,9.837062359E-1,3.000000000E0,2.300000000E1
3.051561462E1,6.503100264E1,2.547073733E1,1.363133277E1,3.110483642E1,0.000000000E0,8.181958771E1,2.655541392E-1,9.392924309E-1,3.000000000E0,2.200000000E1
3.151563462E1,6.503100220E1,2.547073732E1,1.343285098E1,3.090635446E1,0.000000000E0,8.181958771E1,2.657711236E-1,1.555314660E0,3.000000000E0,2.200000000E1
3.251562362E1,6.503100026E1,2.547073770E1,1.328311356E1,3.075661627E1,0.000000000E0,8.181958771E1,2.660203665E-1,1.733703852E0,3.000000000E0,2.300000000E1
3.351568862E1,6.503099802E1,2.547073800E1,1.327973946E1,3.075324130E1,0.000000000E0,8.181958771E1,2.661349396E-1,1.483887196E0,3.000000000E0,2.300000000E1
3.451570162E1,6.503099730E1,2.547073974E1,1.330896515E1,3.078246657E1,0.000000000E0,8.181958771E1,2.662973318E-1,1.328787327E0,3.000000000E0,2.100000000E1
3.551571462E1,6.503099586E1,2.547074041E1,1.318410386E1,3.065760467E1,0.000000000E0,8.181958771E1,2.663688663E-1,1.216299295E0,3.000000000E0,2.200000000E1
3.651576762E1,6.503099594E1,2.547074192E1,1.301919220E1,3.049269291E1,0.000000000E0,8.181958771E1,2.664453215E-1,1.139144301E0,3.000000000E0,1.900000000E1
3.751577062E1,6.503099555E1,2.547074326E1,1.282228375E1,3.029578419E1,0.000000000E0,8.181958771E1,2.664740332E-1,1.070360661E0,3.000000000E0,2.100000000E1
3.851571762E1,6.503099537E1,2.547074283E1,1.265706973E1,3.013057014E1,0.000000000E0,8.181958771E1,2.665133009E-1,1.007479191E0,3.000000000E0,2.400000000E1
3.951576162E1,6.503099534E1,2.547074366E1,1.252503935E1,2.999853968E1,0.000000000E0,8.181958771E1,2.665831592E-1,9.588508606E-1,3.000000000E0,2.100000000E1
4.051592262E1,6.503099474E1,2.547074326E1,1.229738454E1,2.977088468E1,0.000000000E0,8.181958771E1,2.666420491E-1,9.188075066E-1,3.000000000E0,2.200000000E1
4.151586662E1,6.503099433E1,2.547074246E1,1.220597116E1,2.967947122E1,0.000000000E0,8.181958771E1,2.667339002E-1,8.824741244E-1,3.000000000E0,2.100000000E1
4.251582362E1,6.503099407E1,2.547074061E1,1.210879069E1,2.958229081E1,0.000000000E0,8.181958771E1,2.667529005E-1,8.482041359E-1,3.000000000E0,2.300000000E1
4.351584662E1,6.503099420E1,2.547074086E1,1.207088919E1,2.954438934E1,1.057649311E-2,8.181958771E1,2.667593144E-1,8.610681295E-1,3.000000000E0,2.000000000E1
4.451578262E1,6.503099423E1,2.547074097E1,1.204438490E1,2.951788505E1,8.785948157E-3,8.181958771E1,2.667774641E-1,8.735278845E-1,3.000000000E0,2.200000000E1
4.551586362E1,6.503099430E1,2.547074133E1,1.206807863E1,2.954157876E1,1.182461902E-2,8.181958771E1,2.667878541E-1,8.808499575E-1,3.000000000E0,2.100000000E1
4.651587162E1,6.503099434E1,2.547074153E1,1.204551552E1,2.951901566E1,1.050462574E-2,8.181958771E1,2.668034254E-1,8.883351088E-1,3.000000000E0,2.100000000E1
4.751659162E1,6.503099444E1,2.547074176E1,1.208568865E1,2.955918881E1,1.260758471E-2,8.181958771E1,2.668179717E-1,8.946674466E-1,3.000000000E0,2.200000000E1
4.851590662E1,6.503099447E1,2.547074206E1,1.213643586E1,2.960993600E1,1.309990324E-2,8.181958771E1,2.668359293E-1,9.009441733E-1,3.000000000E0,2.300000000E1
4.951618562E1,6.503099459E1,2.547074232E1,1.216841518E1,2.964191535E1,1.538608968E-2,8.181958771E1,2.668492002E-1,9.059900045E-1,3.000000000E0,2.300000000E1
5.051593262E1,6.503099465E1,2.547074257E1,1.228668072E1,2.976018088E1,1.344420388E-2,8.181958771E1,2.668531021E-1,9.137454033E-1,3.000000000E0,2.300000000E1
5.151610262E1,6.503099461E1,2.547074258E1,1.237931087E1,2.985281102E1,8.082067594E-3,8.181958771E1,2.676909084E-1,9.216412306E-1,3.000000000E0,2.100000000E1
5.251595062E1,6.503099432E1,2.547076041E1,1.222487701E1,2.969837550E1,2.892912030E-1,6.744095612E1,2.692629258E-1,9.278639555E-1,3.000000000E0,2.300000000E1
5.351598762E1,6.503099590E1,2.547079369E1,1.214143812E1,2.961493434E1,8.724362850E-1,8.389322662E1,2.714443726E-1,9.328440428E-1,3.000000000E0,2.500000000E1
5.451594962E1,6.503099740E1,2.547084003E1,1.223123391E1,2.970472670E1,1.509014130E0,8.561399841E1,2.739898307E-1,9.368999004E-1,3.000000000E0,2.500000000E1
5.551600062E1,6.503100315E1,2.547089252E1,1.232517161E1,2.979866204E1,1.926094532E0,7.508354187E1,2.764572826E-1,9.372094274E-1,3.000000000E0,2.600000000E1
5.651598962E1,6.503100883E1,2.547094334E1,1.221061488E1,2.968410307E1,2.121401787E0,7.590599823E1,2.792714015E-1,1.653077245E0,3.000000000E0,2.600000000E1
5.751603062E1,6.503101258E1,2.547100263E1,1.226724673E1,2.974073122E1,2.318765640E0,8.177194214E1,2.819975893E-1,1.508937597E0,3.000000000E0,2.600000000E1
5.851602862E1,6.503101543E1,2.547106031E1,1.216729401E1,2.964077459E1,2.423806190E0,8.327406311E1,2.848765244E-1,1.427954912E0,3.000000000E0,2.500000000E1
5.951604862E1,6.503101988E1,2.547112074E1,1.204237860E1,2.951585565E1,2.517508268E0,8.039442444E1,2.877672962E-1,1.347970128E0,3.000000000E0,2.600000000E1
6.051604162E1,6.503102498E1,2.547118113E1,1.205155939E1,2.952503314E1,2.584998608E0,7.856214142E1,2.905027188E-1,1.291641235E0,3.000000000E0,2.600000000E1
6.151601962E1,6.503103140E1,2.547123738E1,1.219133850E1,2.966480982E1,2.611899376E0,7.459654236E1,2.931040414E-1,1.250710607E0,3.000000000E0,2.600000000E1
6.251609862E1,6.503104063E1,2.547128831E1,1.218910970E1,2.966258011E1,2.612565517E0,6.728746796E1,2.954231155E-1,1.223348618E0,3.000000000E0,2.600000000E1
6.351606462E1,6.503105480E1,2.547132457E1,1.214955507E1,2.962302771E1,2.576328993E0,4.864081955E1,2.974780227E-1,1.193306088E0,3.000000000E0,2.600000000E1
6.451601162E1,6.503107184E1,2.547134149E1,1.217009698E1,2.964357460E1,2.514533520E0,2.544036293E1,2.992049725E-1,1.172405243E0,3.000000000E0,2.600000000E1
6.551603562E1,6.503108698E1,2.547134967E1,1.212324847E1,2.959673112E1,2.424498796E0,1.294223690E1,3.000265526E-1,1.156211734E0,3.000000000E0,2.600000000E1
6.651608662E1,6.503109397E1,2.547134399E1,1.226260553E1,2.973609131E1,2.250971794E0,3.414773865E2,3.002010568E-1,1.139211655E0,3.000000000E0,2.600000000E1
6.751630462E1,6.503109551E1,2.547134326E1,1.226397407E1,2.973746050E1,1.816911936E0,3.414773865E2,3.003423132E-1,1.121834755E0,3.000000000E0,2.600000000E1
6.851611962E1,6.503109678E1,2.547134354E1,1.234632853E1,2.981981541E1,1.515436053E0,3.414773865E2,3.007456747E-1,1.845506430E0,3.000000000E0,2.600000000E1
6.951609562E1,6.503110023E1,2.547134619E1,1.236576682E1,2.983925478E1,1.368098021E0,1.565764046E1,3.019691524E-1,1.718865156E0,3.000000000E0,2.600000000E1
7.051621662E1,6.503111109E1,2.547135028E1,1.234897163E1,2.982246335E1,1.405921102E0,3.248726130E0,3.038359088E-1,1.442811966E0,3.000000000E0,2.600000000E1
7.151610162E1,6.503112781E1,2.547134648E1,1.228910248E1,2.976260085E1,1.519930363E0,3.573977356E2,3.059097883E-1,1.273077607E0,3.000000000E0,2.600000000E1
7.251613062E1,6.503114606E1,2.547133742E1,1.231542137E1,2.978892743E1,1.639601111E0,3.499054565E2,3.083449102E-1,1.160389781E0,3.000000000E0,2.600000000E1
7.351628462E1,6.503116790E1,2.547133364E1,1.249543331E1,2.996894796E1,1.776888013E0,3.553490601E2,3.108566928E-1,1.079879522E0,3.000000000E0,2.600000000E1
7.451623162E1,6.503119048E1,2.547133248E1,1.252252921E1,2.999605251E1,1.891444087E0,3.574087219E2,3.132598254E-1,1.019097924E0,3.000000000E0,2.600000000E1
7.551620562E1,6.503121210E1,2.547133295E1,1.249810582E1,2.997163726E1,1.972004771E0,3.572192688E2,3.159859970E-1,1.717315078E0,3.000000000E0,2.600000000E1
7.651616662E1,6.503123654E1,2.547132837E1,1.231889402E1,2.979243510E1,2.068549156E0,3.526054382E2,3.191036129E-1,1.860735178E0,3.000000000E0,2.600000000E1
7.751650862E1,6.503126441E1,2.547132111E1,1.223775744E1,2.971130971E1,2.176380634E0,3.540075989E2,3.221127701E-1,1.889793277E0,3.000000000E0,2.600000000E1
7.851626962E1,6.503129135E1,2.547132696E1,1.254971354E1,3.002327549E1,2.257925034E0,1.595854568E1,3.250242096E-1,1.904191732E0,3.000000000E0,2.600000000E1
7.951620762E1,6.503131109E1,2.547136773E1,1.295299074E1,3.042655663E1,2.323646784E0,4.483881760E1,3.287486551E-1,1.930152893E0,3.000000000E0,2.600000000E1
8.051626062E1,6.503131914E1,2.547144475E1,1.326990415E1,3.074346641E1,2.447474957E0,7.071626282E1,3.334440220E-1,1.951165676E0,3.000000000E0,2.600000000E1
8.151622962E1,6.503131874E1,2.547154478E1,1.332397162E1,3.079752505E1,2.635044813E0,7.727056885E1,3.377118554E-1,1.946281314E0,3.000000000E0,2.600000000E1
8.251624862E1,6.503131924E1,2.547163570E1,1.300530531E1,3.047885105E1,2.778748512E0,8.459030914E1,3.422044289E-1,1.956203341E0,3.000000000E0,2.600000000E1
8.351634762E1,6.503132039E1,2.547173137E1,1.300219002E1,3.047572791E1,2.935090303E0,8.306148529E1,3.473779647E-1,1.988233566E0,3.000000000E0,2.600000000E1
8.451630262E1,6.503132332E1,2.547184138E1,1.307236212E1,3.054589157E1,3.134994507E0,8.693984222E1,3.522014826E-1,1.976038694E0,3.000000000E0,2.600000000E1
8.551634262E1,6.503131513E1,2.547194229E1,1.310337145E1,3.057688906E1,3.293054104E0,9.795147705E1,3.569060531E-1,1.958744049E0,3.000000000E0,2.600000000E1
8.651630562E1,6.503129703E1,2.547203289E1,1.291094764E1,3.038445057E1,3.428553104E0,1.036166992E2,3.618161248E-1,2.019756556E0,3.000000000E0,2.600000000E1
8.751635562E1,6.503127826E1,2.547212758E1,1.278305082E1,3.025653844E1,3.568284512E0,1.078735275E2,3.666897858E-1,2.025063276E0,3.000000000E0,2.600000000E1
8.851639662E1,6.503126039E1,2.547222238E1,1.254839483E1,3.002186749E1,3.692525864E0,1.098876419E2,3.716363203E-1,2.032826662E0,3.000000000E0,2.500000000E1
8.951662862E1,6.503124448E1,2.547232080E1,1.238785421E1,2.986131233E1,3.811498165E0,1.089753723E2,3.764670492E-1,2.031749249E0,3.000000000E0,2.500000000E1
9.051639662E1,6.503123266E1,2.547241983E1,1.218781448E1,2.966125956E1,3.912302017E0,1.034981995E2,3.815784359E-1,2.052377701E0,3.000000000E0,2.600000000E1
9.151636562E1,6.503122742E1,2.547252802E1,1.182709678E1,2.930053052E1,4.024642467E0,9.881209564E1,3.866521953E-1,2.048375845E0,3.000000000E0,2.600000000E1
9.251644662E1,6.503122724E1,2.547263612E1,1.174535672E1,2.921878103E1,4.123149395E0,9.465244293E1,3.919880576E-1,2.053880215E0,3.000000000E0,2.600000000E1
9.351641662E1,6.503122553E1,2.547274972E1,1.161242452E1,2.908583834E1,4.232192039E0,9.596360779E1,3.971562738E-1,1.969719410E0,3.000000000E0,2.600000000E1
9.451655262E1,6.503121746E1,2.547285816E1,1.143143559E1,2.890483698E1,4.318297863E0,1.005726700E2,4.019627818E-1,1.957256913E0,3.000000000E0,2.600000000E1
9.551680662E1,6.503120804E1,2.547295810E1,1.178436478E1,2.925775397E1,4.369209766E0,1.027151413E2,4.068249627E-1,1.977338552E0,3.000000000E0,2.600000000E1
9.651670962E1,6.503119838E1,2.547305912E1,1.182809487E1,2.930147166E1,4.417713642E0,1.015389481E2,4.116580167E-1,1.994449377E0,3.000000000E0,2.600000000E1
9.751652162E1,6.503118863E1,2.547315947E1,1.178923843E1,2.926260287E1,4.459027290E0,9.971414948E1,4.165161197E-1,1.995006800E0,3.000000000E0,2.600000000E1
9.851644062E1,6.503118133E1,2.547326151E1,1.178792929E1,2.926128214E1,4.718057156E0,1.008264771E2,4.212943951E-1,5.512639999E0,3.000000000E0,2.500000000E1
9.951647962E1,6.503117394E1,2.547336180E1,1.161158635E1,2.908492774E1,4.644097328E0,1.019611359E2,4.260974385E-1,5.513521194E0,3.000000000E0,2.500000000E1
1.005164676E2,6.503116536E1,2.547346208E1,1.153249399E1,2.900582346E1,4.858448982E0,1.033612900E2,4.313670540E-1,5.514400005E0,3.000000000E0,2.500000000E1
1.015164696E2,6.503115434E1,2.547357127E1,1.161244463E1,2.908576050E1,5.162947178E0,1.036010895E2,4.366425301E-1,5.515284061E0,3.000000000E0,2.500000000E1
1.025165856E2,6.503114309E1,2.547368046E1,1.185766021E1,2.933096240E1,4.988535404E0,1.037501831E2,4.418917196E-1,5.516178608E0,3.000000000E0,2.500000000E1
1.035165476E2,6.503113110E1,2.547378863E1,1.248037824E1,2.995366656E1,4.514128208E0,1.005796204E2,4.467160444E-1,5.517059326E0,3.000000000E0,2.600000000E1
1.045165106E2,6.503112204E1,2.547388914E1,1.236796758E1,2.984124379E1,4.637753487E0,9.996695709E1,4.521578779E-1,5.517954350E0,3.000000000E0,2.500000000E1
1.055165436E2,6.503111182E1,2.547400252E1,1.252131530E1,2.999457785E1,4.716384888E0,1.010689316E2,4.575392184E-1,5.518833160E0,3.000000000E0,2.500000000E1
1.065165516E2,6.503110256E1,2.547411505E1,1.307733133E1,3.055058067E1,4.660874367E0,1.007809372E2,4.629618988E-1,5.519721508E0,3.000000000E0,2.600000000E1
1.075166346E2,6.503109237E1,2.547422803E1,1.343812415E1,3.091135988E1,4.775639534E0,1.006304169E2,4.682859073E-1,5.520609856E0,3.000000000E0,2.500000000E1
1.085166186E2,6.503108340E1,2.547433944E1,1.285917571E1,3.033239843E1,5.034992695E0,1.022483673E2,4.735740578E-1,5.521495342E0,3.000000000E0,2.400000000E1
1.095165806E2,6.503107319E1,2.547444948E1,1.267279508E1,3.014600445E1,4.824490547E0,1.048938446E2,4.786332999E-1,5.522385597E0,3.000000000E0,2.300000000E1
1.105166186E2,6.503106149E1,2.547455364E1,1.246732447E1,2.994052044E1,4.686312199E0,1.044573212E2,4.835757561E-1,5.523266792E0,3.000000000E0,2.400000000E1
1.115167306E2,6.503105302E1,2.547465701E1,1.259292269E1,3.006610655E1,4.676041603E0,1.004691391E2,4.897649504E-1,5.524146080E0,3.000000000E0,2.400000000E1
1.125166876E2,6.503104778E1,2.547478828E1,1.301459653E1,3.048776707E1,4.968893051E0,1.000004883E2,4.953046999E-1,5.525036335E0,3.000000000E0,2.500000000E1
1.135166396E2,6.503104159E1,2.547490539E1,1.337508396E1,3.084824205E1,5.004677773E0,1.005828781E2,5.012351377E-1,5.525921822E0,3.000000000E0,2.400000000E1
1.145166836E2,6.503103185E1,2.547502961E1,1.394807477E1,3.142121847E1,5.286616802E0,1.019982452E2,5.071631153E-1,5.526801109E0,3.000000000E0,2.500000000E1
1.155166916E2,6.503101951E1,2.547515247E1,1.403642885E1,3.150955729E1,5.155430794E0,1.013574829E2,5.127516630E-1,5.527688980E0,3.000000000E0,2.500000000E1
1.165167116E2,6.503100840E1,2.547526858E1,1.390350813E1,3.137662237E1,5.361595154E0,1.040768280E2,5.181459521E-1,5.528581619E0,3.000000000E0,2.500000000E1
1.175167516E2,6.503099782E1,2.547538074E1,1.413918405E1,3.161228463E1,5.766414165E0,1.016127548E2,5.237254443E-1,4.411415577E0,3.000000000E0,2.400000000E1
1.185167236E2,6.503098783E1,2.547549723E1,1.365554127E1,3.112862804E1,5.277065277E0,1.031258698E2,5.289510369E-1,4.411563396E0,3.000000000E0,2.500000000E1
1.195167896E2,6.503098112E1,2.547560741E1,1.366888680E1,3.114196153E1,5.187036514E0,1.029973907E2,5.339622249E-1,5.531229973E0,3.000000000E0,2.600000000E1
1.205167236E2,6.503097413E1,2.547571288E1,1.383578615E1,3.130884915E1,5.178457260E0,1.026109161E2,5.393210544E-1,5.532119751E0,3.000000000E0,2.600000000E1
1.215167606E2,6.503096516E1,2.547582506E1,1.397303291E1,3.144608286E1,5.297976971E0,1.044419250E2,5.444331450E-1,5.533007622E0,3.000000000E0,2.600000000E1
1.225167786E2,6.503095418E1,2.547593082E1,1.400753479E1,3.148057150E1,4.798613071E0,1.068843918E2,5.493891794E-1,5.533886909E0,3.000000000E0,2.600000000E1
1.235171606E2,6.503094167E1,2.547603215E1,1.418956609E1,3.166258936E1,4.786329269E0,1.043053818E2,5.546752660E-1,4.412305832E0,3.000000000E0,2.400000000E1
1.245169356E2,6.503093061E1,2.547614168E1,1.400575683E1,3.147876650E1,4.949368000E0,1.010496368E2,5.600917067E-1,4.412455082E0,3.000000000E0,2.500000000E1
